Restaurant,Burrito Name,Menu Name,Type,Taco/Burrito,Date,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes
Los Tacos 2,Local,Local Burrito,Specialty,Burrito,42938,Oceanside,3480 Marron Rd,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,4.5,5,6.25,3.5,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,Scott,
Lourdes,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42797,Encinitas,2113 San Elijo Ave,"2113 San Elijo Ave, Encinitas CA",https://www.yelp.com/biz/lourdes-encinitas-2,4,4.7,6.25,4,4,5,3,3,4,3.5,4,4,5,3.75,Sage,
Lourdes,California,California Burrito,California,Burrito,42797,Encinitas,2113 San Elijo Ave,"2113 San Elijo Ave, Encinitas CA",https://www.yelp.com/biz/lourdes-encinitas-2,4,4.7,4.99,4,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,Scott,
Lucha Libre North Park,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.89,4,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,Scott,good fries
Lucha Libre North Park,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.89,5,3,5,4.5,4.5,3,4,4.5,4,4.5,4,Brent,very little guac
Lucha Libre North Park,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,4.99,3.5,3,3,3,3,2.5,2,2.5,3,4,2.8,Emily,Too much tortilla per bite
Lucha Libre North Park,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,5.29,3.5,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,Scott,it does taste homemade. but that's not a good thing
Lucha Libre North Park,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,7.49,2,4,5,4.5,3.5,3.5,2,3.5,4,5,4,Scott,
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,7.49,2.5,3.5,5,4,3,4,4.5,3,3.5,5,4,TJ,
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.5,3.5,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,Scott,really good guac
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.5,5,4.5,4.5,3.5,4,4,3.5,4,4,4,4,Brent,
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.25,3.5,2.5,3.5,3,3,5,4.5,3.5,2,5,2.9,Scott,"guac is good, very avocado-y"
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.25,3,3,4,4,3,3.5,4.5,4,4,5,4,Emily,feels very dense; a lot of meat
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,5.99,4,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,Scott,Repeatedly get large bites of sour cream
Lucha Libre North Park,Surfin California,Surfin California Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,5.69,3,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,Emily,Really good with lime
Lucha Libre North Park,Nutty,Nutty Burrito,Specialty,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,7.99,3.5,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2,Scott,
Lucha Libre North Park,Veg Out,Veg Out Burrito,Vegetarian,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,4,3,2.5,3,3,3,3,3.5,3,3,3,Hannah,
Lucha Libre North Park,Veggie,Veggie Burrito,Vegetarian,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,3,5,3,5,4,2,2,5,2,2,2,Tammy,
Lucha Libre North Park,Bean and Cheese,Bean and Cheese Burrito,Vegetarian,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,3.9,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4,Bankole,Not as good as the first time
Lucha Libre North Park,California - Steak,California - Steak Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,4,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,Melissa N,
Lucha Libre North Park,California - Steak,California - Steak Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,3.5,3.6,3.2,3.2,3.5,3.6,3.5,,3.8,3.9,3.6,Katie,
Lucha Libre North Park,California - Pork Adobada,California - Pork Adobada Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,3,3,3,4,3.5,3,2,3.5,3.5,4,3.9,Emily,thick chips
Lucha Libre North Park,California - Pork Adobada,California - Pork Adobada Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,4,3.5,2,4,3,5,5,4,4,5,3.5,Melissa G,Good guac
Lucha Libre North Park,California - Pork Adobada,California - Pork Adobada Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,4,4,3,3,3,3,2,3,3,4,3,Marc,"shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre"
Lucha Libre North Park,California - Chicken,California - Chicken Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,1,3,2,4,3,5,5,4,3.5,5,3.5,Ashley G,good guac but fries could be better
Lucha Libre North Park,California - Chicken,California - Chicken Burrito,California,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,2,3.5,2,5,3.5,4,2.5,3.5,3,3.5,3.5,Richard,probably positively biased by service
Lucha Libre North Park,Holy Moly,Holy Moly Burrito,Specialty,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,3,5,4,4,4,3,3,4,4,4,4,Mike,
Lucha Libre North Park,Holy Moly,Holy Moly Burrito,Specialty,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,8.25,1,4,3,3.5,3,5,4,2,3,4,3,Sankha G,
Lucha Libre North Park,Holy Moly,Holy Moly Burrito,Specialty,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,7.5,3.8,3.8,4,4,4,4,4,4.5,4.5,4.5,4.4,Luis,
Lucha Libre North Park,Holy Moly,Holy Moly Burrito,Specialty,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,6.95,3,5,5,,5,,5,4.5,5,3,4.5,Aga,
Lucha Libre North Park,Holy Moly,Holy Moly Burrito,Specialty,Burrito,42612,North Park,3016 University Ave,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,5.25,3,4.5,4.5,,3.5,,3,4,3.5,5,3.25,Rob G,
Lupe's Taco Shop,Hot cheetos,Hot cheetos Burrito,Specialty,Burrito,42747,Linda Vista,7621 Linda Vista Rd,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,3.75,5,4,3,,1,,3,3,2,3,2,Meghan,Bland
Lupe's Taco Shop,Surfin California,Surfin California Burrito,California,Burrito,42747,Linda Vista,7621 Linda Vista Rd,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,7.5,2.5,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9,Scott,"first bite sour cream, but probably the best steak I've had in a burrito"
Lupe's Taco Shop,California,California Burrito,California,Burrito,42747,Linda Vista,7621 Linda Vista Rd,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,7.5,5,3.5,3,2,3,3,2,4,2.5,5,3.5,Devleena,fries = 4
Lupe's Taco Shop,Spicy a la Diabla,Spicy a la Diabla Burrito,Specialty,Burrito,42747,Linda Vista,7621 Linda Vista Rd,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,7.5,4,2,3,3,3,4,3,4,3,5,3,Erik,
Lupe's Taco Shop,TGunz,TGunz Burrito,Specialty,Burrito,42850,Linda Vista,7621 Linda Vista Rd,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,7.5,4.5,3.5,4,4.5,4,3.5,3.5,4,4,4.5,4.25,Ricardo,
Lupe's Taco Shop,TGunz,TGunz Burrito,Specialty,Burrito,42850,Linda Vista,7621 Linda Vista Rd,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,7.5,2,4,5,5,4,4.5,4.5,5,4.5,4,4.5,Erin,
Matador Mexican Food,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42645,Morena,5201 Linda Vista Rd,"5201 Linda Vista Rd, Morena CA",https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,4.5,4,7.5,4,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5,Kelsey,
Matador Mexican Food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42645,Morena,5201 Linda Vista Rd,"5201 Linda Vista Rd, Morena CA",https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,4.5,4,7.5,3,3.5,5,3.5,4,3,3,4,2.5,5,3,Javier,"large, bt feels good in my hands"
Mi Asador Mexican & Seafood ,California ,California Burrito,California,Burrito,42487,Oceanside,4750 Oceanside Blvd,"4750 Oceanside Blvd, Oceanside CA",https://sites.google.com/site/miasador/,4.5,4.4,7.5,5,3.5,2,3.5,3.5,3,4,2,2,4,3.5,Sam A,
Mi Asador Mexican & Seafood ,El Hawaiiano ,El Hawaiiano  Burrito,Specialty,Burrito,42487,Oceanside,4750 Oceanside Blvd,"4750 Oceanside Blvd, Oceanside CA",https://sites.google.com/site/miasador/,4.5,4.4,7.5,3,2.5,2.5,3,2,2,1,5,1,5,1.5,Sage,all meat at bottom 1/8th
Mikes Taco Club,California,California Burrito,California,Burrito,42452,Ocean Beach,5060 Newport Ave,"5060 Newport Ave, Ocean Beach CA",http://www.mikestacoclub.com/menu/,4.5,4.9,7.5,4,5,3,5,5,3,2,2,3,5,4,Aaron S,
Mikes Taco Club,California,California Burrito,California,Burrito,42452,Ocean Beach,5060 Newport Ave,"5060 Newport Ave, Ocean Beach CA",http://www.mikestacoclub.com/menu/,4.5,4.9,7.5,5,5,4,2,1,4,3,5,4,2,2,Jaeyoung,Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.
Mister Falafel,Chicken Shawarma,Chicken Shawarma Burrito,Chicken,Burrito,42719,Clairemont,4461 Clairemont Mesa Blvd,"4461 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/mister-falafel-san-diego,4.5,4.6,7.5,4.5,4,4,3.5,4.5,4,4,5,4.5,4,4,Matteo,
Mr. Ruribertos Taco Shop ,California,California Burrito,California,Burrito,42714,Mission Beach,3202 Mission Blvd,"3202 Mission Blvd, Mission Beach CA",https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3.5,3.7,4.99,3.5,2.5,2.5,4,2.5,1,1,2,4,0,2.5,Scott,Everything is in spanish. Get a taco or sope
Mr. Ruribertos Taco Shop ,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42714,Mission Beach,3202 Mission Blvd,"3202 Mission Blvd, Mission Beach CA",https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3.5,3.7,4.99,2.5,2,2.5,3.5,2,3,2.5,2,2.5,2.5,2.4,Emily,"Burritos cut in half, felt like a wrap instead of a burrito"
MXN on Washington,Bean and rice grande size,Bean and rice grande size Burrito,Vegetarian,Burrito,42510,Hillcrest,,", Hillcrest CA",,,,6.45,3,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,Scott,Free salad
Netos Mexican Food,California ,California Burrito,California,Burrito,42516,San Marcos,325 S Rancho Santa Fe Rd,"325 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,6.99,4,3,4.5,4,4,3.5,3,4,4,5,4,Emily,
Netos Mexican Food,Carne adobada ,Carne adobada  Burrito,Carnitas / Pork,Burrito,42516,San Marcos,325 S Rancho Santa Fe Rd,"325 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,5.79,4,3,4.5,4,4,4,5,2.5,3,5,3.6,Scott,Fries are really good but the overall flavor is plain because lack of ingredients
Nico's Taco Shop,California,California Burrito,California,Burrito,42399,Carmel Valley,3860 Valley Centre Dr #404,"3860 Valley Centre Dr #404, Carmel Valley CA",http://www.yelp.com/biz/nicos-taco-shop-san-diego,3,2.9,5.79,4,4,3,4,2.5,3.5,4,2,2.5,5,3,Benni,
Nico's Taco Shop,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42399,Carmel Valley,3860 Valley Centre Dr #404,"3860 Valley Centre Dr #404, Carmel Valley CA",http://www.yelp.com/biz/nicos-taco-shop-san-diego,3,2.9,7.29,3.7,3.8,4.7,4,3.5,4.5,4,4,4.5,5,4,Luis,
Ortiz's Taco Shop #2,California,California Burrito,California,Burrito,42676,Pacific Beach,1313 Garnet Ave,"1313 Garnet Ave, Pacific Beach CA",https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4,4.2,5.69,3,4,3,1.5,3,4,4.5,3.5,2,4.5,3,Ricardo,
Ortiz's Taco Shop #2,California chicken,California chicken Burrito,California,Burrito,42676,Pacific Beach,1313 Garnet Ave,"1313 Garnet Ave, Pacific Beach CA",https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4,4.2,7.15,4,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,Emily,
Ortiz's Taco Shop #2,California,California Burrito,California,Burrito,42676,Pacific Beach,1313 Garnet Ave,"1313 Garnet Ave, Pacific Beach CA",https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4,4.2,6.99,4,4.5,4,4.5,4.5,4.5,4.5,4.5,5,4,4.5,Mike,
Ortiz's Taco Shop #2,California,California Burrito,California,Burrito,42676,Pacific Beach,1313 Garnet Ave,"1313 Garnet Ave, Pacific Beach CA",https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4,4.2,7.49,4.1,4,4.5,4.5,4.5,4.7,4.5,4.2,4.5,5,4.7,Luis,
Oscar's Mexican food,California ,California Burrito,California,Burrito,42393,San Marcos,225 S Rancho Santa Fe Rd,"225 S Rancho Santa Fe Rd, San Marcos CA",http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,7.9,3.5,4,5,4,4,3,4,3.5,4,4,4.2,Scott,Tortilla is burnt a bit but good. Pick is good
Oscar's Mexican food,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42393,San Marcos,225 S Rancho Santa Fe Rd,"225 S Rancho Santa Fe Rd, San Marcos CA",http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,7.9,3.5,4,3.5,4.5,4.5,3.5,3.5,3.5,4,3,4.3,Emily,Melted cheese is good. Cilantro is fresh
Oscar's Mexican food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42393,San Marcos,225 S Rancho Santa Fe Rd,"225 S Rancho Santa Fe Rd, San Marcos CA",http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,6.95,3.5,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,Scott,Alfajores dessert and horchata are super good
Papa Chito's Mexican Food,California,California Burrito,California,Burrito,42591,University City,3951 Governor Dr,"3951 Governor Dr, University City CA",https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2.5,3.3,5.95,4,3.5,5,4.5,3.5,4,4.5,4.5,4,5,4,Richard,First burrito I enjoyed from top to bottom
Papa Chito's Mexican Food,California,California Burrito,California,Burrito,42591,University City,3951 Governor Dr,"3951 Governor Dr, University City CA",https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2.5,3.3,5.49,4,3,5,3,3,2.5,4,3.5,3,5,3.1,Scott,Good because so cheap
Pedro's Tacos,California Burrito,California Burrito Burrito,California,Burrito,42512,Oceanside,,", Oceanside CA",,,,3.99,4.5,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6,Emily,tamale isn't good
Pokirrito,Pokirrito classic ,Pokirrito classic  Burrito,Carnitas / Pork,Burrito,42519,Kearny Mesa,4646 Convoy St,"4646 Convoy St, Kearny Mesa CA",https://www.yelp.com/biz/pokirrito-san-diego-2,4,4.3,6.35,4,4,2.5,4,3,4.5,2,2,3,4,3,Erin,"Good tortilla, good amount of food, needed guac. or salsa to balance out density of fillings."
Pokirrito,Mauna Lani,Mauna Lani Burrito,Specialty,Burrito,42519,Kearny Mesa,4646 Convoy St,"4646 Convoy St, Kearny Mesa CA",https://www.yelp.com/biz/pokirrito-san-diego-2,4,4.3,5.99,2.5,3.2,3.8,4.5,2.8,4,2,1.8,3.5,5,4,Scott,Carnitas very good
Pollos Maria,California,California Burrito,California,Burrito,42396,Carlsbad,3055 Harding St,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,4,3.8,7.65,4.5,3.5,4.5,2.5,2.5,1,1.5,3,2.5,3,2.7,Scott,"The big size was too big of an appeal, but there's just not enough meat"
Pollos Maria,Combo Chicken,Combo Chicken Burrito,Chicken,Burrito,42397,Carlsbad,3055 Harding St,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,4,3.8,6.6,3.5,4,4.5,4,4,4.5,5,4.5,4.5,4.5,4.25,Ricardo,
Pollos Maria,Combo Chicken,Combo Chicken Burrito,Chicken,Burrito,42700,Carlsbad,3055 Harding St,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,4,3.8,6.3,4,4,3.6,4,4,4,4,,4,4,4.2,Luis,
Pollos Maria,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42700,Carlsbad,3055 Harding St,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,4,3.8,6.6,3,4,4,5,5,4.5,3,2,4,4,4,Elynn,
Porkyland ,Deborah's special,Deborah's special Burrito,Specialty,Burrito,42462,Carmel Valley,4645 Carmel Mountain Rd,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,4,4.4,5.99,4,3.5,3.5,2,3,4.5,4.5,3,3,5,3.2,Scott,get the carnitas
Porkyland ,Chicken nopalito,Chicken nopalito Burrito,Chicken,Burrito,42462,Carmel Valley,4645 Carmel Mountain Rd,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,4,4.4,7.9,4,4,4,4,4,4.5,4,4,4,2.5,4.2,Scott,Best horchata. Fries are great. Chips are really good
Porkyland ,Chicken nopalito,Chicken nopalito Burrito,Chicken,Burrito,42462,Carmel Valley,4645 Carmel Mountain Rd,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,4,4.4,7.9,3,4,4,3.5,4.5,4,3.5,2.5,4,1.5,4,Emily,"Chips really good, really good but a little bit spicy chipotle. Very good horchata"
Porkyland ,California,California Burrito,California,Burrito,42462,Carmel Valley,4645 Carmel Mountain Rd,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,4,4.4,6.6,3.2,1.4,3.7,3,3.2,4.8,2.4,3,2.9,3,3,Scott,
"Qdoba Mexican Grill, Seatac Airport",Custom,Custom Burrito,Specialty,Burrito,42448,Seattle,Airport,"Airport, Seattle CA",,,,6.6,4,4,3.5,3.5,3.5,4,3,3.5,3.5,4.5,3,Brent,Salsa too spicy
Raul's Mexican food,Chile verde pork,Chile verde pork Burrito,Carnitas / Pork,Burrito,42440,Encinitas,490 S Coast Hwy 101,"490 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,6.1,4,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3,Scott ,
Raul's Mexican food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42440,Encinitas,490 S Coast Hwy 101,"490 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,6.25,4,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2,Scott ,
Rigoberto's Taco Shop,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42437,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,6.5,4,3,2.5,2.5,3,4,3.5,2.5,3,5,3.3,Scott,The burrito looked beautiful when it came out. Chicken didn't add anything. would probably get the regular
Rigoberto's Taco Shop,Campeon,Campeon Burrito,Carne Asada / Beef,Burrito,42437,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,5.5,4,3.5,5,3,3,3.5,3.5,2,4,5,3.5,Devleena,
Rigoberto's Taco Shop,California ,California Burrito,California,Burrito,42463,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,5.5,2,3,5,3,4,2,2,2,4.5,4,3.5,Sankha G,
Rigoberto's Taco Shop,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42463,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,4.95,3,3.5,5,4,4,3.78,5,,4.7,5,4.2,Sage,chicken and rice burrito. simple and delicious. 
Rigoberto's Taco Shop,California,California Burrito,California,Burrito,42467,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,6.99,3.5,3,3,3,3,3.7,3.5,3.8,3,5,3.5,Scott,Pretty decent
Rigoberto's Taco Shop,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42467,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,3.5,4,5,4.5,4.2,4.7,4.4,4,4.9,5,4.6,Sage,one if the best breakfast burritos I've ever had
Rigoberto's Taco Shop,El Rusio,El Rusio Burrito,Specialty,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,6.5,3,3,4.5,3.5,1.5,1.5,2,3.2,2,4.5,2.2,Scott,Peppers not cooked enough
Rigoberto's Taco Shop,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,5.5,3,3,4,4.5,3,2,4,4.5,3.5,4.5,3.5,Ricardo,Very plain burrito
Rigoberto's Taco Shop,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,4.99,4,4.5,5,3,3,3,2.5,0,2.5,5,3,Sage,pretty standard breakfast burrito. eggs and cheese. great tortilla! morning protein!
Rigoberto's Taco Shop,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,6.95,4,4,2,4,3,4,5,3,3,4,4,Elynn,
Rigoberto's Taco Shop,Bacon breakfast,Bacon breakfast Burrito,Breakfast,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,7,4,3,3,3.5,4,4,3,3,4,3.5,5,Hannah,
Rigoberto's Taco Shop,Chile Relleno,Chile Relleno Burrito,Vegetarian,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,5.95,3,4,3,4,3,4,2,3.5,3,5,3.9,Scott,
Rigoberto's Taco Shop,Fish,Fish Burrito,Seafood,Burrito,42503,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,6.99,3.5,2,5,4.2,3,4.7,5,3.7,4.2,5,4,Sage,
Rigoberto's Taco Shop,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42114,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,4.5,3,4,4,4,4,4,4,4,3,4,Marc,
Rigoberto's Taco Shop,Campeon,Campeon Burrito,Carne Asada / Beef,Burrito,42640,Miramar,7094 Miramar Rd,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,2,2,4,3,4,4,4,3,4,4,3,Jeremy,
