Restaurant,Burrito Name,Type,Zip Code,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,lat,lng
California Burritos,Carne asada everything,Carne Asada / Beef,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,7.65,3.5,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,Scott,,32.793464,-117.1560493
California Burritos,California Everything,California,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,5,3.5,2,,2.5,2,2,2,2,2.5,,2,Emily,,32.793464,-117.1560493
California Burritos,California Everything,California,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,5,1,2,,1,1,0.5,1,1.5,1,4,1,Scott,burrito was mostly tortilla,32.793464,-117.1560493
California Burritos,California Everything,California,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.25,0.5,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33,Kelsey,,32.793464,-117.1560493
California Burritos,California Everything,California,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.25,3,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,Sage,,32.793464,-117.1560493
California Burritos,California Everything,California,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.25,3.75,3,5,5,4.5,4,4,1.5,3,5,3,Jake,,32.793464,-117.1560493
California Burritos,Surf & Turf,Seafood,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,9.5,3,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,Scott,quite small,32.793464,-117.1560493
California Burritos,Carne asada everything,Carne Asada / Beef,42583,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,7.84,4,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,Scott,,32.793464,-117.1560493
California Burritos,California Everything,California,42660,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,7.89,1,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,Scott,,32.793464,-117.1560493
California Burritos,Surf & Turf,Seafood,42660,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.99,4,4,3,3.5,3,4,5,3,3.5,5,3.5,Emily,Kind of dry ,32.793464,-117.1560493
California burritos,California everything,California,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,9.5,5,3,3,3.5,3,4,1,3,2.5,5,3,Sage,,32.793464,-117.1560493
California burritos,California everything,California,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.99,4,4,4.5,4,3.5,4,2.5,2,4,4,4.2,Scott,A bit small,32.793464,-117.1560493
California burritos,California everything mini,California,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,5.99,3,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,Emily,So hot! Egg is surprisingly good,32.793464,-117.1560493
California burritos,Surf & Turf,Seafood,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.95,3.5,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,Scott,,32.793464,-117.1560493
California burritos,California everything,California,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.95,4,3,4.5,4,3,3,2,4,2,4.5,3,Torben,Guac chips have lots of cheese,32.793464,-117.1560493
California burritos,Surf & Turf,Seafood,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.5,3.5,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,Ricardo,,32.793464,-117.1560493
Cancun Mexican & Seafood,California,California,42449,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,6.95,4.5,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,33.000349,-117.2754892
Cancun Mexican & Seafood,Machaca,Carne Asada / Beef,42449,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,7.65,3,2,4,3,3,4,2,4,2,3,3.5,Richard,Hot carrots,33.000349,-117.2754892
Cancun Mexican & Seafood,Adobada,Carnitas / Pork,42622,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,7.3,3,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,Tom,,33.000349,-117.2754892
Cancun Mexican & Seafood,California,California,42622,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,8.59,2.5,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,Scott,,33.000349,-117.2754892
Cancun Mexican & Seafood,California ,California,42691,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,8.59,3.5,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,Brad,,33.000349,-117.2754892
Cancun Mexican & Seafood,California ,California,42691,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,7.99,3.5,4,4,2,3,1.5,3,2.5,1,3,2.5,Scott,Bland,33.000349,-117.2754892
Carmen's Mexican Food,Adobada,Carnitas / Pork,42601,Clairemont,4937 Diane Ave,"4937 Diane Ave, Clairemont CA",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,9.99,3,4,4.5,3.5,4,3,2,2.5,3.5,4,4,Emily,Fries are good,32.8352268,-117.1868331
Carmen's Mexican Food,Carne asada,Carne Asada / Beef,42601,Clairemont,4937 Diane Ave,"4937 Diane Ave, Clairemont CA",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,8.25,3.5,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,Scott,,32.8352268,-117.1868331
Chili Peppers,Surf & Turf,Seafood,42518,San Diego,10425 Tierrasanta Blvd,"10425 Tierrasanta Blvd, San Diego CA",,,,7.95,2.5,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,Emily,,32.8227851,-117.1033798
Chipotle,Custom,Specialty,42512,Carlsbad,2505 Palomar airport Rd,"2505 Palomar airport Rd, Carlsbad CA",https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3,4.2,7.95,2,4,5,4,4,3,5,3,3,5,4,Tara,,33.1280739,-117.2704361
Chipotle,Carnitas,Carnitas / Pork,42626,Carlsbad,2505 Palomar airport Rd,"2505 Palomar airport Rd, Carlsbad CA",https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3,4.2,8.75,3,4,5,3,5,3,2,4,3,5,4,Andy,,33.1280739,-117.2704361
Colima's Mexican Food,Colimas burrito,Specialty,42521,North park,2302 University Ave,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,6.6,3,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,Scott,,32.748619,-117.1398717
Colima's Mexican Food,Hawaiian,Specialty,42432,North park,2302 University Ave,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,6.6,3,4,5,5,5,5,4,,4.5,5,4.5,Tara,,32.748619,-117.1398717
Colima's Mexican Food,Bandido,Specialty,42432,North park,2302 University Ave,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,6.6,3,3,5,3.5,3,4.5,2.5,3,4,4,3.6,Scott,Too much enchilada sauce this time,32.748619,-117.1398717
Colima's Mexican Food,Bandido,Specialty,42432,North park,2302 University Ave,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,7.45,3.5,3,5,3.5,2.5,3,2.5,3.75,3,4,3,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,32.748619,-117.1398717
Cortez Mexican Food,California ,California,42650,Bonsall,5517 Mission Rd,"5517 Mission Rd, Bonsall CA",https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4,6.6,3.5,3.5,3,4,4.5,3,1,3,4,0.5,2.8,Scott,"Salsa Fresca is good, way too small",33.2909024,-117.2259557
Cotixan,California,California,42789,Clairemont,4370 Genessee Ave,"4370 Genessee Ave, Clairemont CA",https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4,4,6.6,3,3,2.5,3,4,2,1,3,3,5,3,Emily,,32.8229419,-117.184444
Cotixan,California,California,42902,Clairemont,4370 Genessee Ave,"4370 Genessee Ave, Clairemont CA",https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4,4,7.89,3.5,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Scott,Too small ,32.8229419,-117.184444
Don Carlos Taco Shop,California,California,42864,La Jolla,737 Pearl St,"737 Pearl St, La Jolla CA",https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4,4.5,7.89,2,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Richard,A little small. No rice and beans or cheese or sour cream,32.8396989,-117.2752812
Don Carlos Taco Shop,California,California,42864,La Jolla,737 Pearl St,"737 Pearl St, La Jolla CA",https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4,4.5,6.25,4,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Scott,,32.8396989,-117.2752812
Donato's Taco Shop,California ,California,42387,Miramar,6780 Miramar Rd,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,3.5,4.2,6.25,3.5,4,4,4,2.5,3,3.5,4,4,5,4,Brent,Brent doesn't like fries in his burrito,32.878915,-117.168949
Donato's Taco Shop,Al pastor ,Carnitas / Pork,42675,Miramar,6780 Miramar Rd,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,3.5,4.2,6.25,4,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Luis,,32.878915,-117.168949
Donato's Taco Shop,Carne asada,Carne Asada / Beef,42675,Miramar,6780 Miramar Rd,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,3.5,4.2,6.5,5,4.5,5,5,5,5,4,4,5,5,4.7,Karl,,32.878915,-117.168949
El Cuervo,California ,California,42635,Hillcrest,110 Washington St,"110 Washington St, Hillcrest CA",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4,4.3,6.25,2,5,5,5,4,4,2,,5,5,5,Kalen,,32.7500841,-117.1636875
El Cuervo,Pollo adobado,Chicken,42635,Hillcrest,110 Washington St,"110 Washington St, Hillcrest CA",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4,4.3,6.5,2.5,3,,3.5,4,4,3,,4,1.5,3.5,Erin,,32.7500841,-117.1636875
El Dorado Mexican Food,California,California,42537,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,6.65,3.5,3.5,,3.5,3.5,4.5,3.5,3.5,4,4,4,Ricardo,,33.4839805,-117.1433185
El Dorado Mexican Food,Super,Specialty,42537,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,5.95,3.5,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Scott,"Cheese should be melted, potatoes are very good",33.4839805,-117.1433185
El Dorado Mexican Food,California,California,42881,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,5.5,3,2,4,3,3,3,4,3.5,3.5,,3,Emily,,33.4839805,-117.1433185
El Dorado Mexican Food,California,California,42881,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,9,2,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat",33.4839805,-117.1433185
El Indio,California,California,42446,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,9,2,2.5,2.5,1.5,2.5,1,2,2.5,2,5,1.8,Emily,,32.7423252,-117.180125
El Nopalito ,Especial ,Specialty,42522,Encinitas,582 Santa Fe Dr,"582 Santa Fe Dr, Encinitas CA",https://www.yelp.com/biz/el-nopalito-encinitas,4,4,8,4,4.5,5,5,5,4.5,5,3,5,5,4.9,Sage,A wonderful eating experience. best California burrito I've ever had by far. ,33.0367532,-117.2796615
El Nopalito ,Ranchero steak,Carne Asada / Beef,42522,Encinitas,582 Santa Fe Dr,"582 Santa Fe Dr, Encinitas CA",https://www.yelp.com/biz/el-nopalito-encinitas,4,4,6.89,3,3,2.5,3,2.5,2.5,2,3.5,3,4,3,Scott,,33.0367532,-117.2796615
El Pollo Loco,Chicken avocado,Chicken,42701,Oceanside,3500 College Blvd,"3500 College Blvd, Oceanside CA",https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,6.39,3,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5,Emily,Pineapple is really good,33.1815844,-117.2959464
El Portal Fresh Mexican Grill,Mahi,Seafood,42680,Clairemont,4101 Genesee Ave,"4101 Genesee Ave, Clairemont CA",https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,6.75,3,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,Scott,Fries are good. Too little meat,32.8175541,-117.1806305
El Portal Fresh Mexican Grill,Carnitas,Carnitas / Pork,42680,Clairemont,4101 Genesee Ave,"4101 Genesee Ave, Clairemont CA",https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,5.99,2,4,2,2.5,4,4,3,3.5,4,5,3.2,Emily,Free lime. Ingredients chopped finely,32.8175541,-117.1806305
El Pueblo Mexican Food,California,California,42592,Cardiff ,820 Birmingham Dr,"820 Birmingham Dr, Cardiff  CA",https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4,4.7,7.49,3.5,3.5,4,4,4,3.5,3,4,4.5,3,4.2,Scott,Less meat than usual,33.0269045,-117.2731687
El Rey Moro,California Surf,California,42530,Clairemont,4471 Clairemont Mesa Blvd,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,7.49,4,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5,Ricardo,,32.8338051,-117.1955713
El Rey Moro,Hashbrown,Breakfast,42967,Clairemont,4471 Clairemont Mesa Blvd,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,7.49,4,3,3,4,3.5,3.5,4,3.5,4,2.5,3.7,Luis,,32.8338051,-117.1955713
